南津軽郡藤崎町	P	40.663745	140.470250	JP
南津軽郡大鰐町	P	40.546031	140.544821	JP
南津軽郡田舎館村	P	40.634384	140.499579	JP
北津軽郡板柳町	P	40.714264	140.432943	JP
北津軽郡鶴田町	P	40.759558	140.341174	JP
上北郡野辺地町	P	40.884910	141.082945	JP
上北郡七戸町	P	40.635966	141.088935	JP
上北郡六戸町	P	40.620177	141.258697	JP
上北郡東北町	P	40.696671	141.174345	JP
上北郡六ヶ所村	P	40.899573	141.265301	JP
上北郡おいらせ町	P	40.595648	141.380561	JP
三戸郡三戸町	P	40.355420	141.229906	JP
三戸郡五戸町	P	40.534228	141.286034	JP
三戸郡南部町	P	40.406542	141.269879	JP
三戸郡階上町	P	40.405483	141.522141	JP
盛岡市	P	39.669757	141.005184	JP
宮古市	P	39.639919	141.855229	JP
大船渡市	P	39.120317	141.671490	JP
花巻市	P	39.357764	140.984993	JP
北上市	P	39.299273	140.903586	JP
久慈市	P	40.187683	141.701099	JP
遠野市	P	39.330232	141.511546	JP
一関市	P	38.946986	141.037672	JP
陸前高田市	P	39.015171	141.604468	JP
釜石市	P	39.281761	141.714112	JP
二戸市	P	40.253424	141.275142	JP
八幡平市	P	39.918573	141.061515	JP
奥州市	P	39.055825	141.061435	JP
滝沢市	P	39.701528	141.036830	JP
岩手郡雫石町	P	39.686934	140.901573	JP
岩手郡岩手町	P	39.967595	141.154943	JP
紫波郡紫波町	P	39.562042	141.075131	JP
紫波郡矢巾町	P	39.63422	141.078705	JP
胆沢郡金ケ崎町	P	39.174424	141.042713	JP
西磐井郡平泉町	P	38.984102	141.091897	JP
上閉伊郡大槌町	P	39.372084	141.863244	JP
下閉伊郡山田町	P	39.473438	141.934201	JP
下閉伊郡岩泉町	P	39.844297	141.780851	JP
九戸郡野田村	P	40.099801	141.798274	JP
二戸郡一戸町	P	40.243685	141.269460	JP
仙台市青葉区	P	38.362351	140.669587	JP
仙台市宮城野区	P	38.261912	140.882936	JP
仙台市若林区	P	38.248258	140.881047	JP
仙台市太白区	P	38.238439	140.695162	JP
仙台市泉区	P	38.330136	140.770519	JP
石巻市	P	38.469534	141.190935	JP
塩竈市	P	38.314266	140.995248	JP
気仙沼市	P	38.904093	141.530294	JP
白石市	P	37.988577	140.561612	JP
名取市	P	38.214951	140.785220	JP
角田市	P	38.036377	140.751968	JP
多賀城市	P	38.300603	140.96019	JP
岩沼市	P	38.127876	140.789123	JP
登米市	P	38.764932	141.157813	JP
栗原市	P	38.712435	140.967306	JP
東松島市	P	38.408601	141.105234	JP
大崎市	P	38.745256	140.701390	JP
富谷市	P	38.369955	140.861274	JP
刈田郡蔵王町	P	38.123075	140.539055	JP
柴田郡大河原町	P	38.055558	140.682352	JP
柴田郡村田町	P	38.145185	140.692236	JP
柴田郡柴田町	P	38.048905	140.743812	JP
柴田郡川崎町	P	38.144988	140.531813	JP
伊具郡丸森町	P	37.924642	140.751371	JP
亘理郡亘理町	P	38.072346	140.828516	JP
亘理郡山元町	P	37.992267	140.850432	JP
宮城郡松島町	P	38.374453	141.022661	JP
宮城郡七ヶ浜町	P	38.284951	141.044329	JP
宮城郡利府町	P	38.342331	140.936423	JP
黒川郡大和町	P	38.350861	140.837667	JP
黒川郡大郷町	P	38.410541	140.973116	JP
黒川郡大衡村	P	38.477132	140.864999	JP
加美郡加美町	P	38.57645	140.84265	JP
遠田郡涌谷町	P	38.547848	141.067207	JP
遠田郡美里町	P	38.567723	140.994135	JP
牡鹿郡女川町	P	38.438465	141.410226	JP
本吉郡南三陸町	P	38.675739	141.426577	JP
秋田市	P	39.804923	140.047283	JP
能代市	P	40.135147	139.986812	JP
横手市	P	39.352552	140.389055	JP
大館市	P	40.272250	140.468775	JP
男鹿市	P	40.005246	139.701444	JP
湯沢市	P	39.149017	140.430357	JP
鹿角市	P	40.222692	140.712434	JP
由利本荘市	P	39.387121	140.018249	JP
潟上市	P	39.873672	139.977069	JP
大仙市	P	39.553346	140.361634	JP
北秋田市	P	40.194312	140.287453	JP
にかほ市	P	39.210026	139.894161	JP
仙北市	P	39.596232	140.528375	JP
鹿角郡小坂町	P	40.336750	140.736993	JP
南秋田郡五城目町	P	39.938145	140.102494	JP
南秋田郡八郎潟町	P	39.936981	140.060624	JP
仙北郡美郷町	P	39.432353	140.540951	JP
山形市	P	38.269272	140.246643	JP
米沢市	P	37.877547	140.054789	JP
鶴岡市	P	38.559137	139.543086	JP
酒田市	P	38.803924	139.768537	JP
新庄市	P	38.738272	140.234352	JP
寒河江市	P	38.412760	140.195636	JP
上山市	P	38.128185	140.263106	JP
村山市	P	38.484259	140.343662	JP
長井市	P	38.104264	140.013621	JP
天童市	P	38.345969	140.308903	JP
東根市	P	38.413274	140.337434	JP
尾花沢市	P	38.597752	140.381714	JP
南陽市	P	38.065359	140.110910	JP
東村山郡山辺町	P	38.284385	140.244936	JP
東村山郡中山町	P	38.323878	140.251287	JP
西村山郡河北町	P	38.411698	140.270317	JP
西村山郡西川町	P	38.354337	139.975833	JP
西村山郡朝日町	P	38.309627	140.130582	JP
西村山郡大江町	P	38.376976	140.174434	JP
北村山郡大石田町	P	38.593410	140.363636	JP
最上郡金山町	P	38.891689	140.318478	JP
最上郡最上町	P	38.752107	140.405100	JP
最上郡真室川町	P	38.857153	140.230335	JP
東置賜郡高畠町	P	37.966274	140.126853	JP
東置賜郡川西町	P	37.999375	140.024107	JP
西置賜郡小国町	P	38.067510	139.736263	JP
西置賜郡白鷹町	P	38.179784	140.064383	JP
東田川郡三川町	P	38.831338	139.826485	JP
東田川郡庄内町	P	38.841874	139.884583	JP
飽海郡遊佐町	P	38.989847	139.846491	JP
福島市	P	37.681921	140.316889	JP
会津若松市	P	37.498597	139.841508	JP
郡山市	P	37.34177	140.243243	JP
いわき市	P	37.071098	140.891841	JP
白河市	P	37.239347	140.144898	JP
須賀川市	P	37.330565	140.290715	JP
喜多方市	P	37.609889	139.820580	JP
相馬市	P	37.818418	140.869709	JP
二本松市	P	37.597222	140.348324	JP
田村市	P	37.455944	140.508161	JP
南相馬市	P	37.724092	140.911201	JP
本宮市	P	37.476548	140.322461	JP
伊達郡桑折町	P	37.842251	140.505954	JP
伊達郡国見町	P	37.890596	140.521078	JP
伊達郡川俣町	P	37.671543	140.562560	JP
安達郡大玉村	P	37.550176	140.312429	JP
岩瀬郡鏡石町	P	37.219814	140.319402	JP
南会津郡南会津町	P	37.179893	139.519307	JP
耶麻郡西会津町	P	37.638316	139.619430	JP
耶麻郡磐梯町	P	37.576138	139.934972	JP
耶麻郡猪苗代町	P	37.528892	140.021919	JP
河沼郡会津坂下町	P	37.549201	139.751161	JP
河沼郡湯川村	P	37.549100	139.865941	JP
